condition,replication,topic,conflict_type,word_count,num_turns,negative_words,positive_words,conflict_phrases,resolution_phrases,negativity_pct,positivity_pct,sentiment_ratio,sarah_negativity,david_negativity
constructive,59,parenting,constructive,4375,40,36.0,157.0,0.0,8.0,0.7945265945707349,3.465018759655705,0.6269430051813472,0.7051016175860638,0.8962264150943396
constructive,59,in-laws,constructive,4486,38,30.0,135.0,1.0,8.0,0.6389776357827476,2.8753993610223643,0.6363636363636364,0.6213753106876554,0.657606313020605
constructive,59,parenting styles,constructive,4347,36,36.0,154.0,2.0,7.0,0.7903402854006586,3.380900109769484,0.6210526315789474,0.8814102564102564,0.6799417192812044
constructive,59,cleaning responsibilities,constructive,3450,36,30.0,85.0,0.0,11.0,0.8415147265077139,2.3842917251051894,0.4782608695652174,0.8547008547008548,0.8248730964467006
constructive,59,stress management,constructive,4331,34,60.0,196.0,2.0,9.0,1.3256738842244808,4.330534688466637,0.53125,1.7045454545454544,0.938337801608579
constructive,59,date nights,constructive,2991,30,13.0,96.0,0.0,8.0,0.4149377593360996,3.0641557612511967,0.7614678899082569,0.5531653349723417,0.2656042496679947
destructive_chronic_mixed,59,communication patterns,destructive,6975,38,152.0,45.0,16.0,2.0,2.0568335588633286,0.6089309878213802,-0.5431472081218274,1.7736214124475975,2.2615994404290043
destructive_chronic_mixed,59,budget,destructive,3291,32,60.0,16.0,14.0,3.0,1.7513134851138354,0.46701692936368944,-0.5789473684210527,1.7337807606263984,1.7704517704517704
destructive_chronic_mixed,59,intimacy,destructive,5113,34,79.0,63.0,15.0,5.0,1.4648618579640273,1.1681809753384016,-0.11267605633802817,1.530389156099694,1.4166130070830651
destructive_chronic_mixed,59,family time,destructive,6332,38,151.0,36.0,14.0,4.0,2.2813113763408372,0.5438888049554313,-0.6149732620320856,2.077307388903497,2.556818181818182
destructive_chronic_mixed,59,discipline strategies,destructive,5236,32,114.0,34.0,12.0,3.0,2.0806716554115714,0.6205511954736266,-0.5405405405405406,2.068045363575717,2.0959290608625554
destructive_chronic_mixed,59,parenting,destructive,5838,40,116.0,57.0,14.0,3.0,1.8748989817358979,0.921286568611605,-0.34104046242774566,1.658069270449521,2.0443420673769075
destructive_chronic_mixed,59,financial planning,destructive,5150,30,121.0,36.0,16.0,5.0,2.247817202303548,0.6687720601894854,-0.5414012738853503,2.2449783379283184,2.250351617440225
destructive_chronic_mixed,59,in-laws,destructive,11228,38,221.0,51.0,13.0,6.0,1.828259430840503,0.42190602250165454,-0.625,1.60072485653881,1.9140936538680642
destructive_chronic_mixed,59,diet,destructive,4607,38,113.0,21.0,17.0,1.0,2.362533974492996,0.43905498641020285,-0.6865671641791045,2.680708472953566,2.1158129175946545
destructive_chronic_mixed,59,health habits,destructive,3471,38,76.0,24.0,10.0,2.0,2.083333333333333,0.6578947368421052,-0.52,2.214983713355049,1.9876952200662565
destructive_chronic_mixed,59,work-life balance,destructive,3639,34,84.0,31.0,10.0,1.0,2.2151898734177213,0.8175105485232068,-0.4608695652173913,2.4271844660194173,2.0522388059701493
destructive_chronic_mixed,59,parenting decisions about Emma,destructive,2750,36,46.0,13.0,14.0,1.0,1.5851137146795313,0.44796691936595456,-0.559322033898305,1.3869625520110958,1.7808219178082192
destructive_chronic_mixed,59,family gatherings,destructive,12220,38,256.0,86.0,15.0,4.0,1.9925280199252802,0.6693648816936488,-0.49707602339181284,1.5864022662889519,2.48790601243953
destructive_chronic_mixed,59,finances,destructive,4099,34,90.0,22.0,13.0,3.0,2.117148906139732,0.51752528816749,-0.6071428571428571,2.2065727699530515,2.0273455917020273
destructive_chronic_mixed,59,holidays,destructive,7096,40,98.0,75.0,12.0,3.0,1.3099852960834113,1.002539767410774,-0.1329479768786127,1.6118633139909737,1.0961406713861612
destructive_chronic_mixed,59,parenting styles,destructive,4284,40,72.0,43.0,11.0,5.0,1.5904572564612325,0.9498564170532362,-0.25217391304347825,1.6194331983805668,1.5625
destructive_chronic_mixed,59,respect,destructive,4891,36,104.0,46.0,13.0,4.0,2.0288724151385096,0.8973858759266484,-0.38666666666666666,2.0757465404224327,1.9747899159663864
destructive_chronic_mixed,59,emotional support,destructive,4585,36,110.0,45.0,15.0,3.0,2.2647724933086266,0.9264978381717109,-0.41935483870967744,2.4446142093200915,2.0544886109870477
destructive_chronic_mixed,59,personal time,destructive,5523,36,109.0,35.0,13.0,2.0,1.9009417509591908,0.6103941402162539,-0.5138888888888888,1.7347725520431765,2.038216560509554
destructive_chronic_mixed,59,family time,destructive,5813,34,111.0,65.0,13.0,3.0,1.7885916854656785,1.0473735095069288,-0.26136363636363635,1.6972635954277795,1.8680325399216633
destructive_chronic_mixed,59,diet,destructive,8448,34,159.0,91.0,17.0,3.0,1.7767348307073418,1.016873393675271,-0.272,1.5612382234185733,1.9296904852884982
destructive_chronic_mixed,59,personal habits,destructive,5557,36,141.0,43.0,14.0,2.0,2.403272541332879,0.7329129026759843,-0.532608695652174,2.3289665211062593,2.4687399807630652
